job_id,design_index,family_index,constraint,k,t,n_low,n,nfa_states,unrolled_states,seed,dataset,structural_cell_index,replicate_index,base_instance_id,multi_token_keyword_count,compiled_constraint_sha256,job_sha256,status,failure_kind,timeout_s,precompute_timeout_s,generation_timeout_s,timed_out,timeout_phase,progress_phase,worker_subprocess_runtime_s,grammar_build_runtime_s,compile_runtime_s,xgrammar_precompute_runtime_s,setup_runtime_s,grammar_rule_count,grammar_edge_count,grammar_bytes,compiled_grammar_memory_bytes,model_vocab_size,initial_mask_audit,model_load_runtime_s,method,tokenizer_config_load_runtime_s,generation_runtime_s,prompt_token_count,generated_total_len,generated_token_ids,generated_text,valid_generation,peak_gpu_allocated_bytes,worker_total_runtime_s
000_coauthor_kth_last_k1_t1,0,0,kth_last,1,1,2,64,3,250,1491181096,coauthor,0,0,coauthor:creative:d85ddd25fd5641a78bc996b77c55e82a,0,4dde9d56e0c018eca93eb9dd49b390c2013936eba091b53f09b2a19ef4d0956d,2aeb23677de13d966d2f54f4eb0d44fa026ccc6b752a1954563ddb1c483fe3a2,success,,256.0,256.0,256.0,False,,model_loaded,12.524186659997213,0.34282323699153494,0.0220414530049311,0.36486468999646604,0.36486468999646604,130,312,5213,944740,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.8925854329863796,xgrammar,0.6460758530010935,2.2701759900082834,169,64,"[1919, 4290, 914, 6415, 11, 781, 998, 8526, 310, 1831, 2373, 314, 586, 11, 1381, 567, 11, 279, 2235, 321, 3996, 8174, 11, 599, 310, 381, 279, 2373, 338, 1878, 13, 2302, 599, 995, 660, 279, 21459, 11, 12177, 11, 55208, 11, 2730, 11, 321, 567, 998, 2047, 310, 440, 261, 321, 14580, 13, 271, 760, 3809, 54438, 5964, 11, 524, 680, 523, 248046]","This isn't fair, they were meant to take care of us, now we, the old and infirmed, have to be the care givers. They have had all the advantages, youth, longevity, health, and we were left to wither and fade.

The community rallies quickly, not out class<|im_end|>",True,3797889536,6.99446377500135
001_coauthor_kth_last_k3_t1,1,1,kth_last,3,1,2,64,5,364,1899553348,coauthor,1,0,coauthor:creative:1ff18e51f2a1466f97bb3dbfbaf98ba6,0,88772c9269ec8b6d6fe7dd8a826359ca44777a89dcaf2d3c292f3ea2e4cb04a1,429cf7e5632f551c61f18dea9f519c3c8b945ffd35ad7203f9d047ec56e45122,success,,256.0,256.0,256.0,False,,model_loaded,12.563699193007778,0.34907300300255883,0.057504459997289814,0.40657746299984865,0.40657746299984865,248,668,11575,4302259,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.860798383000656,xgrammar,0.6497205290070269,2.220779297000263,127,64,"[1, 14749, 369, 411, 7285, 22804, 4439, 11, 780, 7497, 88818, 9781, 13, 271, 9726, 855, 1288, 80426, 19386, 11, 780, 7497, 18717, 694, 14885, 449, 6607, 314, 11078, 10903, 11, 328, 284, 524, 678, 4642, 13, 1216, 369, 279, 4642, 314, 279, 3516, 4042, 11, 694, 551, 369, 4862, 303, 264, 66952, 13, 561, 1483, 854, 488, 5312, 1384, 20922, 11, 551, 248046]","""Who is this?"" Barack asked, his voice trembling slightly.

""The man,"" JFK replied, his voice calm but carrying an edge of dangerous intelligence, ""is not your President. He is the President of the United States, but he is currently in a coma. The last time you saw him retired, he<|im_end|>",True,3797369856,6.973530357005075
002_coauthor_kth_last_k4_t1,2,2,kth_last,4,1,2,64,6,418,1302744492,coauthor,2,0,coauthor:creative:23b998c76c784ff29f0ddedd78128722,0,e2ae43a7b8494a8abc1616126ff3085a323e676f33a53d0f8cbf24af7422a62c,c24036a3a69a48009a332fbdf2abf35f9eb2acc7cca9288f5d9276543ee2ce3b,success,,256.0,256.0,256.0,False,,model_loaded,12.592085172000225,0.3322186699951999,0.07364206800411921,0.4058607379993191,0.4058607379993191,304,837,14600,6715423,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",3.1121431959909387,xgrammar,0.6313132789946394,2.2700888460094575,517,64,"[760, 2763, 21110, 314, 11712, 421, 58145, 303, 220, 17, 16, 16, 17, 5964, 17773, 5657, 680, 314, 2444, 11, 44265, 279, 8334, 24832, 328, 27086, 1, 1814, 1083, 264, 17865, 314, 3980, 13, 561, 6639, 314, 22486, 13343, 8526, 421, 948, 279, 1118, 3478, 7796, 7718, 998, 14336, 11, 1017, 557, 874, 3841, 11, 3521, 4953, 1785, 310, 40969, 279, 6331, 310, 248046]","The initial surge of conflict that erupted in 2112 quickly spiraled out of control, transforming the previously peaceful ""stable"" world into a landscape of war. The lack of satellite infrastructure meant that when the first major battlelines were drawn, there was no quick, global alert system to dragging the situation to<|im_end|>",True,3828329472,7.162566106009763
003_coauthor_kth_last_k6_t1,3,3,kth_last,6,1,2,64,8,520,1308401230,coauthor,3,0,coauthor:creative:34f5ead6ffce44cfbdbd9cd0ef47f0c5,0,aefdd1f2014ac435bfe050778de45fc99d387f8b3f106e773d7bd88961f09812,6dff900cc265481a92941e05cff3673376ee5476137131686efe00fbf0b79cfd,success,,256.0,256.0,256.0,False,,model_loaded,12.411918228011928,0.3742845450033201,0.10573997000756208,0.48002451501088217,0.48002451501088217,410,1157,20338,12729820,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.7917376559926197,xgrammar,0.6408392699959222,2.1866794509987812,377,64,"[760, 10647, 47077, 12611, 488, 1040, 264, 6745, 11894, 11, 24101, 279, 20684, 440, 264, 293, 49135, 20795, 13, 1394, 1459, 914, 1066, 1144, 24924, 26, 488, 1144, 310, 1366, 279, 7793, 13, 561, 20513, 421, 10695, 279, 35997, 579, 24125, 369, 42371, 1056, 279, 52489, 314, 279, 25158, 4924, 13, 271, 2523, 12601, 8574, 678, 6764, 70828, 13, 328, 35, 327, 0, 248046]","The sudden realization hits you like a physical blow, replacing the confusion with a dawning horror. You don't just need honey; you need to know the truth. The silence that follows the bee's departure is heavier than the sting of the insect itself.

You rush toward your father recoil. ""Dad!<|im_end|>",True,3815770624,6.939372627995908
004_coauthor_kth_last_k7_t1,4,4,kth_last,7,1,2,64,9,568,1573029600,coauthor,4,0,coauthor:creative:c793fab594334531a25d19557c0f5ee0,0,66430765d67dd609b445cfab6151bc03fb643f93461ea26ea30f699ae6ddf4a4,7dd19012e20f89a7fc4ba860ea7f8f3bf3e43888087114c8eda7284c9421ee26,success,,256.0,256.0,256.0,False,,model_loaded,12.43038909000461,0.3432983870006865,0.12094383599469438,0.46424222299538087,0.46424222299538087,460,1308,23051,16224733,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.7606078200042248,xgrammar,0.645660032008891,2.195901233004406,552,64,"[1, 5170, 353, 2908, 17677, 310, 4973, 728, 7285, 1394, 1042, 680, 264, 3238, 38240, 11, 678, 1901, 9960, 1235, 1142, 9781, 430, 279, 12514, 42237, 13, 1049, 557, 264, 62342, 4299, 11, 35556, 1083, 279, 6213, 314, 279, 855, 852, 995, 21957, 56507, 494, 3712, 11, 1132, 310, 311, 39420, 303, 264, 1528, 314, 20950, 4542, 13, 271, 11734, 579, 264, 1248, 248046]","""First I've invited to join me?"" You let out a low whistle, your head tilting back slightly as the beer bubbles. It was a surreal moment, staring into the eyes of the man who had seemingly vanished from history, only to reappear in a state of suspended favor.

""It's a long<|im_end|>",True,3831072768,6.829964570992161
005_coauthor_kth_last_k9_t1,5,5,kth_last,9,1,2,64,11,658,70697510,coauthor,5,0,coauthor:creative:b6936e96569b4b878e78370c516df55b,0,526cd0aaf7cc7626b5b1b7e6207810c0de06c3254829e81f3e003338135fd2ea,a1c6fb391040d352dc315baa7a74563003322f8a6a60c8e8a71c82a3481f3689,success,,256.0,256.0,256.0,False,,model_loaded,12.21994069799257,0.3387813989975257,0.15005432299221866,0.48883572198974434,0.48883572198974434,554,1592,28385,23939128,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.7970392150018597,xgrammar,0.6341776539920829,2.216917147001368,279,64,"[760, 5404, 579, 10407, 557, 4147, 11, 3462, 364, 279, 36334, 11, 27163, 20569, 8541, 367, 314, 279, 4560, 11, 864, 1381, 33172, 67247, 10958, 303, 279, 11012, 2956, 13, 1577, 488, 10641, 1017, 11, 279, 52489, 19074, 3055, 279, 1752, 314, 279, 35997, 579, 352, 4972, 11, 488, 14607, 2414, 39888, 25, 279, 52385, 995, 20720, 310, 9704, 11, 12680, 494, 264, 248046]","The driver's seat was empty, save for the faint, rhythmic thrum of the engine, which now sounded strangely familiar in the quiet room. As you lay there, the sting burning along the path of the bee's stinger, you realized something terrifying: the swelling had begun to rise, turning from a<|im_end|>",True,3807556096,6.899459382999339
006_coauthor_kth_last_k11_t1,6,6,kth_last,11,1,2,64,13,740,771436552,coauthor,6,0,coauthor:creative:dcb6bb7ac50740b49deae5bf9a0dc942,0,4d12b11d9c809970a7913cd611d7c267df44216e275faf7cd17521fa5c7458aa,1f49dbb9fc9c8df6bb6b8e99395406415a49c45cd7bc5e018eeaf570f97a9c98,success,,256.0,256.0,256.0,False,,model_loaded,12.615702865005005,0.35544150399800856,0.17784296699392144,0.53328447099193,0.53328447099193,640,1852,33495,32308375,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.8413553269929253,xgrammar,0.6363883150042966,2.209709571005078,192,64,"[40, 2688, 1040, 328, 40, 1459, 914, 1366, 1092, 310, 1910, 1, 321, 279, 35997, 2640, 11, 328, 9658, 1910, 3977, 11, 821, 15780, 1149, 353, 44315, 506, 279, 13280, 16710, 66286, 888, 821, 16388, 11, 1141, 25368, 25315, 264, 85556, 11, 27163, 20569, 71275, 421, 33172, 30296, 391, 1040, 264, 59945, 82248, 654, 13, 561, 1814, 682, 70454, 1441, 310, 264, 3074, 248046]","I'm like ""I don't know what to say"" and the bee says, ""Just say anything, my Queen."" I stare at the tiny creature hovering over my shoulder, its wings beating a frantic, rhythmic flutter that sounded suspiciously like a violin flipsaw. The world has narrowed down to a single<|im_end|>",True,3799678464,7.106746029006899
007_coauthor_kth_last_k12_t1,7,7,kth_last,12,1,2,64,14,778,1709702330,coauthor,7,0,coauthor:creative:86b1e2101c3141988dd27079e6963eb7,0,d88bdcc660dd22744e3c07e721e4be9ed01a2f63a9f12a9583a66334d6cf2f20,76ed727b2f56bdcdc9fd5860275a6171ebfb9d6e7d1a395bb8e44277d1f5a1d1,success,,256.0,256.0,256.0,False,,model_loaded,12.634541886000079,0.35515493800630793,0.18954959500115365,0.5447045330074616,0.5447045330074616,680,1973,35876,36629323,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.8555504309915705,xgrammar,0.6879102250095457,2.221719207998831,461,64,"[2033, 27087, 509, 26845, 383, 279, 809, 314, 780, 38608, 11, 780, 69051, 5734, 57407, 286, 303, 279, 3594, 430, 413, 274, 3185, 286, 279, 12293, 314, 678, 35594, 4089, 13, 328, 4639, 579, 524, 1603, 364, 488, 1288, 551, 42151, 11, 780, 7497, 27373, 21030, 11, 328, 26756, 11834, 2166, 30497, 290, 12781, 3520, 678, 21395, 1785, 7234, 11, 321, 7234, 21395, 248046]","Alfred chews on the end of his antenna, his antennae twitching in the air as if savoring the taste of your forbidden treat. ""That's not good for you,"" he repeats, his voice surprisingly gentle, ""because eating too helmeted sugar makes your immune system weak, and weak immune<|im_end|>",True,3823410176,7.147643853997579
008_coauthor_kth_last_k14_t1,8,8,kth_last,14,1,2,64,16,848,2001624439,coauthor,8,0,coauthor:creative:fe0fb4892ea749c7a67b12172793c3a4,0,daf3cca0bda121a2d7c0dd1627332e3579fcc36034bbce42342f9947824e6c70,8d1d61262c6292267a82b2cf6d6c9aa61ae2f85fe9ee5be4cb86b7c9cf74f6b9,success,,256.0,256.0,256.0,False,,model_loaded,14.5920648839965,0.3501609240047401,0.21613852800510358,0.5662994520098437,0.5662994520098437,754,2197,40290,45342808,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.8844666949880775,xgrammar,0.6447709909989499,2.189963703000103,82,64,"[23790, 9457, 90639, 557, 279, 1901, 314, 3379, 13, 1216, 16155, 264, 2624, 4464, 13, 23475, 3979, 11, 279, 3594, 55348, 998, 9896, 440, 279, 26508, 7497, 314, 279, 7300, 11, 328, 1596, 1144, 264, 3410, 22293, 13, 1165, 513, 3221, 364, 264, 855, 852, 5686, 1040, 264, 3743, 14644, 1149, 271, 760, 1814, 14936, 303, 45359, 20513, 430, 279, 4142, 82945, 4268, 248046]","Ben Affleck was the head of press. He organized a search party. Within hours, the airwaves were filled with the desperate voice of the director, ""We need a million volunteers. We are looking for a man who looks like a bad wallet.""

The world watched in stunned silence as the police sirens<|im_end|>",True,3796816896,7.098576563992538
009_coauthor_kth_last_k16_t1,9,9,kth_last,16,1,2,64,18,910,928504667,coauthor,9,0,coauthor:creative:7b3266e380274b95b5a7b775dd937da6,0,af952c243ca03086c512e14814c3f535c51acf9866d2928ff9c327a085304c1f,c368476aff4296e05cb4a1ee0ba9811f5a55100d8e980cb46322ecef112cd18b,success,,256.0,256.0,256.0,False,,model_loaded,14.667466289000004,0.35491770500084385,0.23750542099878658,0.5924231259996304,0.5924231259996304,820,2397,44240,53906905,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",3.0948023480013944,xgrammar,0.6465379380097147,2.1917307160038035,241,64,"[2523, 2579, 264, 14457, 5033, 7588, 11, 430, 413, 678, 1765, 1901, 995, 978, 82951, 539, 264, 10632, 11, 28486, 5176, 13, 561, 11870, 314, 678, 88140, 21010, 8415, 11, 279, 62140, 11, 279, 7112, 314, 1204, 11078, 279, 52489, 557, 2218, 16714, 3232, 440, 279, 30538, 39306, 2022, 314, 279, 25158, 303, 3929, 314, 488, 13, 1394, 12706, 421, 678, 4307, 3712, 248046]","You feel a strange vertigo, as if your own head had been tilted by a massive, invisible force. The logic of your upbringing—the fear, the avoidance, the stories of how dangerous the sting was—collides with the absurd unawareness of the insect in front of you. You realize that your entire history<|im_end|>",True,3804051968,7.306833948998246
