job_id,design_index,family_index,constraint,k,t,n_low,n,nfa_states,unrolled_states,seed,dataset,structural_cell_index,replicate_index,base_instance_id,multi_token_keyword_count,compiled_constraint_sha256,job_sha256
000_common_gen_kth_last_k1_t1,0,0,kth_last,1,1,2,64,3,250,897793754,common_gen,0,0,common_gen:validation:930,0,eea36117af6f0da02f1bc4e58ecc25dd9ebcc04b94381151b77e1b6a2f04d0bd,7cfd5f33fab967b9ff20bccacc1d5157d2d5e69556772ded2a72bbf83625e4f8
001_common_gen_kth_last_k3_t1,1,1,kth_last,3,1,2,64,5,364,1812287493,common_gen,1,0,common_gen:validation:194,0,d86a9957e60e987bbcf4a88e522810439064bab59cff38bb0d5cbb2e33ec2efb,256c9766b2356e489790a928f4edcb8003e1c8cb43daedc43652a73f2f5299fe
002_common_gen_kth_last_k4_t1,2,2,kth_last,4,1,2,64,6,418,1700166206,common_gen,2,0,common_gen:validation:593,0,16ba99e9d2a6acbc3a81219b99a5b4f0a2fcbf74b81662927af89148559d4841,0367ced4d1f1b0eb75dd02b467debc0c749a62ef0bfbbecef3db9a28af16b9f4
003_common_gen_kth_last_k6_t1,3,3,kth_last,6,1,2,64,8,520,842411654,common_gen,3,0,common_gen:validation:218,0,0679c34228d9e774bd926893bab1b3f748f511494869dc6c8774103a06c99d0f,8267730920cb184e01a47840d484d43304d365f29a8431d241b3281df340cb21
004_common_gen_kth_last_k7_t1,4,4,kth_last,7,1,2,64,9,568,1633392913,common_gen,4,0,common_gen:validation:247,0,8defe766848782956cf0301d7e324d4d6d492ea43303cf4085a1d359aa6f83ce,30f9a4975ac17b1649a675eeee91f95561d51e0b5b540fb4fa1b9a135ff34e5f
005_common_gen_kth_last_k9_t1,5,5,kth_last,9,1,2,64,11,658,2090001954,common_gen,5,0,common_gen:validation:462,0,a4e9cbbf520565591715f720484aa0ab45a190a71034fdc8498cd52faa153083,775c6f5401192abc74e64f45c5d4d9524d1053ce64969c15ce4040b89e79342e
006_common_gen_kth_last_k11_t1,6,6,kth_last,11,1,2,64,13,740,1818931647,common_gen,6,0,common_gen:validation:195,0,d36f6518bbd23fea975763ca6813f9fd2d1a6f619cbb37dbda36f0558b531701,09377dcc8f01fb9e5d450ee76f845399bc55441cc95c90912d2266b757a0a91a
007_common_gen_kth_last_k12_t1,7,7,kth_last,12,1,2,64,14,778,27081196,common_gen,7,0,common_gen:validation:533,0,adf571e11495483b9677ad758b84706aec8644ac9dcf121b69c135b2eac8d759,4805040d1f061495d84f03b1022a0d063f7655aae945a4e7621894cce9d102af
008_common_gen_kth_last_k14_t1,8,8,kth_last,14,1,2,64,16,848,38761726,common_gen,8,0,common_gen:validation:7,0,fe3ab8c2caf6a57484ff3cb25fbb9278b54ec486b981e5bfa76d0c68629b07f4,d32b7ed7d0360df731ff719dfea6afc274da8e5ed9ae0991f3601f16ec6e6a34
009_common_gen_kth_last_k16_t1,9,9,kth_last,16,1,2,64,18,910,1570769743,common_gen,9,0,common_gen:validation:393,0,9be0c604f011b8a033454b42e3758a35fbb3ceb6c1e88d02a198de918f010706,34bfead2f296b2576e1b6c9dc380b8baa55a841d968579f7968939bb09088265
010_common_gen_kth_last_k17_t1,10,10,kth_last,17,1,2,64,19,938,480605786,common_gen,10,0,common_gen:validation:622,0,d8ca890be9f0e0b96dc76950a650b4e0bf62b187aee320c625778ff70d7416c6,1800f18cfcaa3e8a807f28272b0a4832d7a39f039a0400cc897dd515289a1cd9
