job_id,design_index,family_index,constraint,k,t,n_low,n,nfa_states,unrolled_states,seed,dataset,structural_cell_index,replicate_index,base_instance_id,multi_token_keyword_count,compiled_constraint_sha256,job_sha256
000_common_gen_kth_last_k1_t1,0,0,kth_last,1,1,2,65,3,254,897793754,common_gen,0,0,common_gen:validation:930,0,de8a047d1c9f2ac85062de05c4f6dfcbb906a694d2074cd10d491ef76b86a331,5c704c386dd6928eb30b1ea1f51de6db0901c6823f7618ea6e519dca73d200e2
001_common_gen_kth_last_k3_t1,1,1,kth_last,3,1,2,65,5,370,1812287493,common_gen,1,0,common_gen:validation:194,0,7115cb104e0ad93422b5ba3d6d34aa287c6f255df24764048dce1e88137ca3a9,9d174e71cdf96c7866f02728cef638f46d32b05feebda34b561a2ef0cc948e38
002_common_gen_kth_last_k4_t1,2,2,kth_last,4,1,2,65,6,425,1700166206,common_gen,2,0,common_gen:validation:593,0,e587687006feaab7cb2ac8ba96a11064a7a239c4ceedab7d26d8d66777bca6f8,8bf15808ed9f3ef0302e390a663fdef294316cbcf7ebe281a41645c3f4be0312
003_common_gen_kth_last_k6_t1,3,3,kth_last,6,1,2,65,8,529,842411654,common_gen,3,0,common_gen:validation:218,0,f86b60ee7be6e7e0f7551a687da5e900528f51e57cd713c684d0da0effdcdfc5,7169d259139767040caa05a88ca856cda8b42cbfc9324287cf849245ac15b0d5
004_common_gen_kth_last_k7_t1,4,4,kth_last,7,1,2,65,9,578,1633392913,common_gen,4,0,common_gen:validation:247,0,7311631a1fc8a2fede2bf74d67af89f14ceb99ade43bd1c5bb9d069c8e29608a,e5310a99c574343ec5d60f5634acedafc8176bdce1d0724a7657b7bf7a4ef6ed
005_common_gen_kth_last_k9_t1,5,5,kth_last,9,1,2,65,11,670,2090001954,common_gen,5,0,common_gen:validation:462,0,4d8b74259c4b8e4eceae7e13f5fe34a07a4b1ad758f4559df765763385a52d21,5f4c75ce8fddd6c13219f711887fee943fb6a1292f02486f044a4567313da550
006_common_gen_kth_last_k11_t1,6,6,kth_last,11,1,2,65,13,754,1818931647,common_gen,6,0,common_gen:validation:195,0,2a45174a0d673039c05f78f896e331c2e879495a45878998bd816b2230f3d8dc,7eef14e60936672c559aee81f98c2a119518f67908d6a854b7ab0738a5924f74
007_common_gen_kth_last_k12_t1,7,7,kth_last,12,1,2,65,14,793,27081196,common_gen,7,0,common_gen:validation:533,0,9d6c48a11599473daa01e2646cdff9844b326e1781b1ecac69d34c119399abd0,a848f3a521fb17714cc40629ec49f9c4e970317ab0bdfd6c55e5d45c068daf2c
008_common_gen_kth_last_k14_t1,8,8,kth_last,14,1,2,65,16,865,38761726,common_gen,8,0,common_gen:validation:7,0,99dcef79a5fd380bd037f3e91e86c8bcaa8c50fe355a73875ba77f8f7338f4d8,c73457e1ee7370510e920f82afc8bad92d67ba39dae04a299376ef5a37aecd7d
009_common_gen_kth_last_k16_t1,9,9,kth_last,16,1,2,65,18,929,1570769743,common_gen,9,0,common_gen:validation:393,0,7fcee2b36a1b089a0890c0bfc29c8c502c94ef1f9e7751037fee47e75137c4ad,89edfe57e7bfb388b961c0dddcc64c92eab03522fdcec9296a29c85671df2781
010_common_gen_kth_last_k17_t1,10,10,kth_last,17,1,2,65,19,958,480605786,common_gen,10,0,common_gen:validation:622,0,a682f18e7334403949643372e50fb8b459b23e4ee59d71dfd387c177a5c63f79,ec6a10121c48a2552b14f8e3d401bb372ff3b90afcb4cce1d2aa58530d7389e2
011_common_gen_kth_last_k19_t1,11,11,kth_last,19,1,2,65,21,1010,325908543,common_gen,11,0,common_gen:validation:455,0,646d8dd80a2c78ccc6e43c74b58817bab3976824231583b9c34e0744441fb093,579d374c0e3d5a4fb16bc1c516aca88e7157dcbc3a60b8da4f5eba032068a950
012_common_gen_kth_last_k20_t1,12,12,kth_last,20,1,2,65,22,1033,1119897319,common_gen,12,0,common_gen:validation:594,0,0c1277d7fc1881abdff11f45c4622405239decdf697efdcb398bab4bcb337fc0,79d0cd3d7bdbdf73991db654e96a0bd68ccf923025ff16078c1310f1fc7a6ea8
013_common_gen_kth_last_k22_t1,13,13,kth_last,22,1,2,65,24,1073,1599240223,common_gen,13,0,common_gen:validation:249,0,6cd0f168117908464e3f2f07eaef914f121727939d0c7b3ed8e9589e3e73eca7,c11a87a4b6aa40068496b48c2d9814a2b4082127c5f53afdaec8d5fa2d9bfd70
