job_id,design_index,family_index,constraint,k,t,n_low,n,nfa_states,unrolled_states,seed,dataset,structural_cell_index,replicate_index,base_instance_id,multi_token_keyword_count,compiled_constraint_sha256,job_sha256
000_coauthor_kth_last_k1_t1,0,0,kth_last,1,1,2,65,3,254,1491181096,coauthor,0,0,coauthor:creative:d85ddd25fd5641a78bc996b77c55e82a,0,61028b941b9f309beb9908563ae06c9ed269b0988a61bf197ccb432117896f50,33aeaaaa7ed49c96937bcbdfd7b91ebacb87004c39d3cc790a4d4ca665559050
001_coauthor_kth_last_k3_t1,1,1,kth_last,3,1,2,65,5,370,1899553348,coauthor,1,0,coauthor:creative:1ff18e51f2a1466f97bb3dbfbaf98ba6,0,812baf0ee3f32656ad996c15dafddcb5c3c3176a652854470b5b23d71de7a958,1f851da1732d484cb28e4628524219efa74fe10dc967fa23679dc77685a6316a
002_coauthor_kth_last_k4_t1,2,2,kth_last,4,1,2,65,6,425,1302744492,coauthor,2,0,coauthor:creative:23b998c76c784ff29f0ddedd78128722,0,383bb9603c8327dfdb055983ee97667f8e57a114ba409b7b63fefba2f30905c8,9b11d3de386908d7cf7cb32e152675b5019bb72419792699181bb515d6f4c9cb
003_coauthor_kth_last_k6_t1,3,3,kth_last,6,1,2,65,8,529,1308401230,coauthor,3,0,coauthor:creative:34f5ead6ffce44cfbdbd9cd0ef47f0c5,0,dfe3c475411ae58505668dab004b95e9db98888b154355e4a7937d6cb4091de5,58ee3b35a515fce369630a104bc0050042002c31ce0a23f5495cec55a3673284
004_coauthor_kth_last_k7_t1,4,4,kth_last,7,1,2,65,9,578,1573029600,coauthor,4,0,coauthor:creative:c793fab594334531a25d19557c0f5ee0,0,02a1d934982f5815febb240ec4f7022992f50e623ef6737cbdd494f113657232,7e9c4388ac6e0e3ce37be8c4ddb1ca9047cf2116d8511fb0beac622564838e8f
005_coauthor_kth_last_k9_t1,5,5,kth_last,9,1,2,65,11,670,70697510,coauthor,5,0,coauthor:creative:b6936e96569b4b878e78370c516df55b,0,468434ca5bbea2976d4ca9f2243ee431770b1281b26fc9bfcc13eebad1f03759,d04f12dcc03acf088bcc14a91292b34591684ce46b6e2ef0d3d015e932f60475
006_coauthor_kth_last_k11_t1,6,6,kth_last,11,1,2,65,13,754,771436552,coauthor,6,0,coauthor:creative:dcb6bb7ac50740b49deae5bf9a0dc942,0,aa5191f938cb8435ecfaa2026f1b4213bdd5a2b33eb191363e524ab6947a19a0,687cd4f4745cfdfe1e0cc133d8a26c1a0f772b0c577e1a7db201bd229ac81d97
007_coauthor_kth_last_k12_t1,7,7,kth_last,12,1,2,65,14,793,1709702330,coauthor,7,0,coauthor:creative:86b1e2101c3141988dd27079e6963eb7,0,c042a47381c81287c04e9160a7dce3752e05823fd12e7454fbd5d395b1ca5575,d404eaa9ce3ce6dcccafa90c7022fe517239f3b0802d1cb2d64661faac11cc58
008_coauthor_kth_last_k14_t1,8,8,kth_last,14,1,2,65,16,865,2001624439,coauthor,8,0,coauthor:creative:fe0fb4892ea749c7a67b12172793c3a4,0,feb73da225f632becdffea2d2fbf00767fb17dc0842c527ed060190a4b107270,308051ba890e95690d89f7536d4b2cf4a01829fb6fe79b3f47204e0dfd0cc589
009_coauthor_kth_last_k16_t1,9,9,kth_last,16,1,2,65,18,929,928504667,coauthor,9,0,coauthor:creative:7b3266e380274b95b5a7b775dd937da6,0,00f18dc2dc6ab8b16dff72f8215d7c74bb2b4ccd4eb6e7b3bfdc2be55d6f7cd0,7d67d50c373f657d1bd92a5e8d56455553035f141dd67b4e4a5ef4d44136d9cc
010_coauthor_kth_last_k17_t1,10,10,kth_last,17,1,2,65,19,958,763842738,coauthor,10,0,coauthor:creative:0ce718a22fd341feb59ef4f7aede8827,0,b5a492699cad6f6b69d81cab0561967c35123defe1781bd07fa5a5bf66043214,c942efd6c86172d41f30e90eb66391ce68278ac9b71829d18d13d3796bfb58af
011_coauthor_kth_last_k19_t1,11,11,kth_last,19,1,2,65,21,1010,2050047378,coauthor,11,0,coauthor:creative:aa563d648ec34088a3e6d3924b53cffe,0,d0bf31a2c87fa9d08728aa2c3a3daf7f519717e11f88f421bc94d570e04bb0cc,65e34d01c15911ba8a7041ad65eaac3265d4f16f653531a831f4036de663c3de
012_coauthor_kth_last_k20_t1,12,12,kth_last,20,1,2,65,22,1033,1997180275,coauthor,12,0,coauthor:creative:f02fab15925149cf9daa0f299d54f587,0,f327a2add9ab1ce9a10061e44c531f11cc10ff95c7012c8422e40a272bd97b54,f395965549b01298b6a79973a487af65f50a12bf6c275f6dc4f5fdfe023ad88c
013_coauthor_kth_last_k22_t1,13,13,kth_last,22,1,2,65,24,1073,785059014,coauthor,13,0,coauthor:creative:499f9577962c4a2c98aee3f5b6098a71,0,1df8749dd8b52182cdd7333efcade46f4965d0934b97c5131b70b3ada1b068fc,4acf6790730228a4ea4e1a3f9bb1d2c9acce79f593a9fcda7bfe34e765cdeca6
014_coauthor_kth_last_k24_t1,14,14,kth_last,24,1,2,65,26,1105,628780060,coauthor,14,0,coauthor:creative:b1eb87ade8f7495fb7167d0270816ef7,0,a5fbee7edb68d854b3de9d5b003f0815323c704698ec0270593d81a9e152bae3,efdd38ee453015f7fe790855307d0a3008312976df3812f6c44739cc3500f1f1
015_coauthor_kth_last_k25_t1,15,15,kth_last,25,1,2,65,27,1118,590217029,coauthor,15,0,coauthor:creative:7e9c3c8fbe1f4a02bcb9940a2bf95d9f,0,63932f4c6383907b1253fb92f733ebeba3e2c7205d7a28831aa151178e7a97ae,05cdb426247fb9a2b83ea69216d4e09145714a76713bcd756562e78e51572e55
016_coauthor_kth_last_k27_t1,16,16,kth_last,27,1,2,65,29,1138,748230345,coauthor,16,0,coauthor:creative:f44e4ed0828e40abab5892a019e11dc0,0,b0b20ae882c0bcc2a3d8eeca67b3ab8742feb9ae00e696206704f89a592b2b66,427c86677dea13be9c7d4f68d60964ca80a9533f581755f3a915e33ac21541d5
017_coauthor_kth_last_k29_t1,17,17,kth_last,29,1,2,65,31,1150,1276025991,coauthor,17,0,coauthor:creative:bc89dc4ac2a04f3aae685f619bb0fd24,0,1ece1216969a79a2e78c75fa574a155f12a5cead62f32da7186e7461200f07c6,b4c0e0be50459ba868a14add63fa114ecdb1d61c2d107394b0351f71d36495af
018_coauthor_kth_last_k30_t1,18,18,kth_last,30,1,2,65,32,1153,1435139929,coauthor,18,0,coauthor:creative:e192ae618004434e80f6d9ac86b84b05,0,fa6aca364ce9a3f034bacdc1f25131704ba4c82ff236953181aa03e0a11c053a,8b1bf7259cee1a3cb9d4365860503ed1824e5f6eb3746fbb6f004b43b30e62bd
019_coauthor_kth_last_k32_t1,19,19,kth_last,32,1,2,65,34,1153,1620468441,coauthor,19,0,coauthor:creative:2ce71b3ded9340529f08b8ce0bc0a2d1,0,80d2a2d356397e014fc336785a64bfb80c424abe14117d63158b1b3dece21c46,b8fe47f0aaf91770cbf67de2fd99dca1a8f63ccb1540fb62d7ba86f53139351c
020_coauthor_kth_last_k33_t1,20,20,kth_last,33,1,2,65,35,1150,1548175453,coauthor,20,0,coauthor:creative:4d56ca2cb8c44243a3c86dd80216c1d5,0,6ba57681448ff1800fcd7a54b68d6f9418da03a17808a958db7e8a58e3d78d04,1d4957b2c2221c6552bcbdfd37d6670677720633f36432e2ef295163fbec03de
021_coauthor_kth_last_k35_t1,21,21,kth_last,35,1,2,65,37,1138,1349028788,coauthor,21,0,coauthor:creative:15225b481e3e4c4dab5c641b940b59b1,0,4fe688e9286ddf59318d5832be38ec766953081ff05012fd598f95c00628ce9d,84524e5d37f659a1da7cc9a186cef73eb5ccebed11b984c66e3398146d251d95
022_coauthor_kth_last_k37_t1,22,22,kth_last,37,1,2,65,39,1118,1398474462,coauthor,22,0,coauthor:creative:2848a799f11d4a41b15f5c91dd89eff2,0,e802ccf4f2d2ea7b2935d02bfd3c3f2c38a059dc5ab475abe6325ee5f96e998d,9e4b2baba21ea0d8716116498f87f7273b9899b8992c47d0e9aef5a868077dbb
023_coauthor_kth_last_k38_t1,23,23,kth_last,38,1,2,65,40,1105,696601385,coauthor,23,0,coauthor:creative:84b6f64b8ee84162927b65fe69374fa0,0,8ffc3db4ae6ac9616700b4dbc8d6802f8e735d936a7d4f37d786edde2ca8dd03,6b9932b9778472e23a3b42741a371428a92dde608eb304dc5139c9f7f66f9c48
024_coauthor_kth_last_k40_t1,24,24,kth_last,40,1,2,65,42,1073,1964352443,coauthor,24,0,coauthor:creative:128bf2d6121a4542ba5779b2811d8c15,0,28335441990483914c0ec2d9cf1868532ce8929a3bfaf4ed57b0abe3e15cae0c,f5b01920d23c64bb5279bb216f0357e9f1613838914388b1aa69f51f251bd063
025_coauthor_kth_last_k42_t1,25,25,kth_last,42,1,2,65,44,1033,888846517,coauthor,25,0,coauthor:creative:c7d83184f9f34ae9a9d55b0ee9176856,0,9a3201d8f8ccbe523fc93f4c3f6e27ef8803eca22cdde88100638a93ccb0aff9,2af3a020c2b43946fec2c85cc82774fa8fca5a4ce9557dbe79548715054834d0
026_coauthor_kth_last_k43_t1,26,26,kth_last,43,1,2,65,45,1010,452819898,coauthor,26,0,coauthor:creative:98ec7dfa3aa04e69b9eaf765d6134943,0,6b51aae0a49181fa2303896b54d5cdec59741fe12c31bff5ac13a5748ebd5f66,f8e8ce5393846251f35a245d68d3983bc82dfb12bfbfbacf8d555247e5c7f569
027_coauthor_kth_last_k45_t1,27,27,kth_last,45,1,2,65,47,958,530905720,coauthor,27,0,coauthor:creative:f3e888eebc91402e9a4b5266ea5c6389,0,f3a0ba2004068422d2e0ab1f2fc7ff9320da22a42ab4e912d1f51c6ca651b1ac,8cf166e8b465c1f00a6ea26fb2425dcf6cb8066a244672a93611b10f31f4d7d6
028_coauthor_kth_last_k46_t1,28,28,kth_last,46,1,2,65,48,929,1857979001,coauthor,28,0,coauthor:creative:aea2e89578b3408983027d4f02ac76e6,0,51463b08ba86559f581a8c95be4e2ff63a5ea42a378f0d822533aadd554a6a65,052894658fb5847432f32a1c3e0c84e740a017f1f3293d9eb985bfe1ef6304b4
029_coauthor_kth_last_k48_t1,29,29,kth_last,48,1,2,65,50,865,1451756060,coauthor,29,0,coauthor:creative:d2938c7114bb4f228ae7e3e801e2165b,0,5d82dccaf66a7a7850f1cc01407ad4d743aee2b69f0477692bf727d2f1251b77,da1f98b719a7b7314036aba2efddfd8278d587a9fcd75b4669836baffa1f8c02
030_coauthor_repeat_after_k_k1_t3,30,0,repeat_after_k,1,3,2,65,6,439,407670367,coauthor,30,0,coauthor:creative:67e2ebb79ef7428db8828883d135c55f,0,faa93f2f98b69a046938fa2244df184842bd44fc72bd95317b7bba3baeec96fe,f8f59891a982c390bf396a6188b1f70945da8ebc85e4fb8c06d89dcdd5406b04
031_coauthor_repeat_after_k_k2_t3,31,1,repeat_after_k,2,3,2,65,9,618,1617572021,coauthor,31,0,coauthor:creative:93743bc8b6f94308881cff7cf90ad421,0,ec7a4530487ba2db114f2581fb574ba1d0c150d95e9e8c09877e2004d64613a4,e1ef2538c953782c1bd36789fba9e98176680d74d178283b4cffff1dad022ac6
032_coauthor_repeat_after_k_k3_t3,32,2,repeat_after_k,3,3,2,65,12,791,118994828,coauthor,32,0,coauthor:creative:1187a14aa85d4c568e31d968b2aeadbd,0,205ee576ecaf3f53e6db596c3709e335e64b4242bff51ea19ddfa73032bb15fe,94d24e814561052c13f2d7300a5ab599910b1e60bd6c2057a903177d5cf6ace2
