job_id,design_index,family_index,constraint,k,t,n_low,n,nfa_states,unrolled_states,seed,dataset,structural_cell_index,replicate_index,base_instance_id,multi_token_keyword_count,compiled_constraint_sha256,job_sha256,status,failure_kind,timeout_s,precompute_timeout_s,generation_timeout_s,timed_out,timeout_phase,progress_phase,worker_subprocess_runtime_s,grammar_build_runtime_s,compile_runtime_s,xgrammar_precompute_runtime_s,setup_runtime_s,grammar_rule_count,grammar_edge_count,grammar_bytes,compiled_grammar_memory_bytes,model_vocab_size,initial_mask_audit,model_load_runtime_s,method,tokenizer_config_load_runtime_s,generation_runtime_s,prompt_token_count,generated_total_len,generated_content_len,generated_token_ids,generated_content_token_ids,canonical_eos_token_id,terminal_token_ids,terminal_eos_token_id,terminal_eos_count,terminated_with_eos,hit_content_token_cap,keyword_occurrence_counts,generated_text,valid_generation,peak_gpu_allocated_bytes,worker_total_runtime_s
000_common_gen_kth_last_k1_t1,0,0,kth_last,1,1,2,65,3,254,897793754,common_gen,0,0,common_gen:validation:930,0,cfb3de5baf0fc38d47548292ff9b3fb7b9f122d94c8c303d5bb0fbb501601b5a,3cfd850043ae43668b6fff49249048b0c7e16acf928c2bb9aa4e44d4d3becba5,success,,512.0,512.0,512.0,False,,model_loaded,24.955155262025073,0.5288225280237384,0.035779747006017715,0.5646022750297561,0.5646022750297561,132,317,5296,973561,262144,"{""allowed_count"": 262120, ""expected_count"": 262120, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [1, 50, 106], ""unexpected_allowed"": []}",3.9714074869989417,xgrammar,2.8085267479764298,4.934254600957502,41,65,64,"[5778, 795, 8785, 1116, 8126, 3730, 5808, 531, 506, 4598, 236761, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 8785, 106]","[5778, 795, 8785, 1116, 8126, 3730, 5808, 531, 506, 4598, 236761, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 8785]",1,"[1, 106, 50]",106,1,True,True,[2],"She will wear her favorite blue dress to the party. 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 wear",True,10227373056,13.737727597006597
001_common_gen_kth_last_k3_t1,1,1,kth_last,3,1,2,65,5,370,1812287493,common_gen,1,0,common_gen:validation:194,0,d26a5e8ae94e1a1efa2c1214ff7c78271f547d7dd42ff93d1ad96c1c9d70b12f,0dabf7c36beeddca871d4ade71f7bd8cb30d399201ebbb35e438449b8789c0e2,success,,512.0,512.0,512.0,False,,model_loaded,24.747656613006257,0.5192737489705905,0.10003506002249196,0.6193088089930825,0.6193088089930825,252,679,11766,4440742,262144,"{""allowed_count"": 262120, ""expected_count"": 262120, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [1, 50, 106], ""unexpected_allowed"": []}",3.922904789040331,xgrammar,2.8262881810078397,4.847837841953151,41,65,64,"[1882, 13058, 18788, 506, 70139, 1680, 6514, 1135, 3418, 506, 219182, 1813, 236761, 236743, 107, 2717, 107, 2717, 107, 6681, 107, 2717, 107, 725, 107, 2717, 107, 1437, 107, 2717, 107, 3301, 107, 2717, 107, 9849, 107, 2717, 107, 197013, 107, 2717, 107, 9900, 107, 2717, 107, 236746, 107, 2717, 107, 37767, 107, 2717, 107, 164667, 236761, 107, 2717, 107, 2717, 70139, 236761, 107, 1]","[1882, 13058, 18788, 506, 70139, 1680, 6514, 1135, 3418, 506, 219182, 1813, 236761, 236743, 107, 2717, 107, 2717, 107, 6681, 107, 2717, 107, 725, 107, 2717, 107, 1437, 107, 2717, 107, 3301, 107, 2717, 107, 9849, 107, 2717, 107, 197013, 107, 2717, 107, 9900, 107, 2717, 107, 236746, 107, 2717, 107, 37767, 107, 2717, 107, 164667, 236761, 107, 2717, 107, 2717, 70139, 236761, 107]",1,"[1, 106, 50]",1,1,True,True,[2],"We carefully secured the raft before setting off across the choppy water. 
```
```
 birth
```
out
```
the
```
raft
```
was
```
launched
```
after
```
a
```
brief
```
discussion.
```
``` raft.
",True,10227373056,13.61910893896129
002_common_gen_kth_last_k4_t1,2,2,kth_last,4,1,2,65,6,425,1700166206,common_gen,2,0,common_gen:validation:593,0,ea167641405643409c7198f2d7d73b6caa87e6421f32a0d32d8b1cabb01f973f,0ee863a7c94c6529fd917de3692616fadfce6ef1d6a738eaccb7a8708bf459b9,success,,512.0,512.0,512.0,False,,model_loaded,21.92514339101035,0.5277296020067297,0.11824259499553591,0.6459721970022656,0.6459721970022656,309,851,14845,6936235,262144,"{""allowed_count"": 262120, ""expected_count"": 262120, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [1, 50, 106], ""unexpected_allowed"": []}",3.9395948209566996,xgrammar,2.808971448976081,2.0630669509992003,41,10,9,"[1882, 6657, 496, 2317, 3905, 2290, 1774, 3446, 236761, 106]","[1882, 6657, 496, 2317, 3905, 2290, 1774, 3446, 236761]",1,"[1, 106, 50]",106,1,True,False,[1],We played a fun board game last night.,True,10224791040,10.861914288951084
003_common_gen_kth_last_k6_t1,3,3,kth_last,6,1,2,65,8,529,842411654,common_gen,3,0,common_gen:validation:218,0,d1042040abbc82b2dd3f327a0c1cf8552a881622fcb112963724c6e91511242b,b68e0a24967b40d1cb419431f6f73adb4965af0d2152238d3d6a13ea023786cf,success,,512.0,512.0,512.0,False,,model_loaded,23.43480096902931,0.46597269899211824,0.14221895998343825,0.6081916589755565,0.6081916589755565,417,1177,20691,13165306,262144,"{""allowed_count"": 262120, ""expected_count"": 262120, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [1, 50, 106], ""unexpected_allowed"": []}",4.056707413983531,xgrammar,2.76448822603561,3.6877725940430537,41,42,41,"[818, 89481, 4299, 25829, 3418, 506, 94767, 2135, 236761, 165864, 2109, 100019, 1437, 3703, 8057, 3846, 236761, 191980, 237186, 1437, 3703, 95525, 65121, 236761, 23504, 237250, 237170, 3703, 236761, 9675, 236764, 15318, 12804, 529, 506, 4299, 563, 2307, 236761, 236781, 236761, 106]","[818, 89481, 4299, 25829, 3418, 506, 94767, 2135, 236761, 165864, 2109, 100019, 1437, 3703, 8057, 3846, 236761, 191980, 237186, 1437, 3703, 95525, 65121, 236761, 23504, 237250, 237170, 3703, 236761, 9675, 236764, 15318, 12804, 529, 506, 4299, 563, 2307, 236761, 236781, 236761]",1,"[1, 106, 50]",106,1,True,False,[2],"The bouncing ball rolled across the grassy field.honorabilityhandledtheballcarefully. പക്ഷെtheball bounced unexpectedly.ීමો는ball.However, careful handling of the ball is key.x.",True,10225723904,12.464257046987768
004_common_gen_kth_last_k7_t1,4,4,kth_last,7,1,2,65,9,578,1633392913,common_gen,4,0,common_gen:validation:247,0,2215d031cdde83bed57f45eee0980670790621fe88cc526ccb95ecc8d1a2e6be,5714b2edaaba00562fd616a1562332e422b808cfebf7155d2ffee7ccac5da2e5,success,,512.0,512.0,512.0,False,,model_loaded,19.317269332997967,0.444705703004729,0.16100380197167397,0.605709504976403,0.605709504976403,468,1331,23458,16790572,262144,"{""allowed_count"": 262120, ""expected_count"": 262120, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [1, 50, 106], ""unexpected_allowed"": []}",3.45468131598318,xgrammar,2.698734033969231,4.450935057015158,41,65,64,"[818, 3582, 1813, 36389, 1024, 506, 17240, 236761, 236743, 107, 49137, 237089, 14800, 49225, 236918, 161832, 237184, 107, 818, 3582, 1813, 36389, 1024, 506, 17240, 236761, 236743, 107, 236769, 10180, 161832, 121185, 623, 7632, 236775, 236743, 33891, 237026, 22841, 219786, 236918, 134187, 108, 7243, 107, 1018, 52792, 43120, 19695, 237184, 1018, 236743, 161832, 28031, 5938, 14800, 49225, 1813, 236924, 108, 1018, 41325, 56996, 237184, 106]","[818, 3582, 1813, 36389, 1024, 506, 17240, 236761, 236743, 107, 49137, 237089, 14800, 49225, 236918, 161832, 237184, 107, 818, 3582, 1813, 36389, 1024, 506, 17240, 236761, 236743, 107, 236769, 10180, 161832, 121185, 623, 7632, 236775, 236743, 33891, 237026, 22841, 219786, 236918, 134187, 108, 7243, 107, 1018, 52792, 43120, 19695, 237184, 1018, 236743, 161832, 28031, 5938, 14800, 49225, 1813, 236924, 108, 1018, 41325, 56996, 237184]",1,"[1, 106, 50]",106,1,True,True,[3],"The clear water rushed over the rocks. 
综合了所有概念的句子：
The clear water rushed over the rocks. 
(这个句子使用了 ""water"" 并且是自然流畅的。)

---
**再次检查要求：** 句子必须使用所有概念 water。

**最终答案：",True,10227373056,12.502332979987841
005_common_gen_kth_last_k9_t1,5,5,kth_last,9,1,2,65,11,670,2090001954,common_gen,5,0,common_gen:validation:462,0,ef6dcf9b66d5dc9bf329c90be4c0478da082b837464ae931eee06d87c054a740,78a09fe718476898c02884012b3b630d2ddbca03748d0224621debd834d09b6a,success,,512.0,512.0,512.0,False,,model_loaded,17.93605438398663,0.5205375970108435,0.2003115059924312,0.7208491030032746,0.7208491030032746,564,1621,28904,24806725,262144,"{""allowed_count"": 262120, ""expected_count"": 262120, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [1, 50, 106], ""unexpected_allowed"": []}",3.1538369430345483,xgrammar,2.84964534296887,3.1827909679850563,41,40,39,"[818, 26808, 176508, 29830, 1343, 506, 4896, 529, 506, 4771, 236761, 12792, 499, 496, 6582, 1345, 236761, 107, 221868, 236764, 506, 4896, 691, 71463, 236761, 53416, 236761, 107, 818, 3582, 4896, 18367, 506, 28239, 7913, 529, 506, 14711, 236761, 106]","[818, 26808, 176508, 29830, 1343, 506, 4896, 529, 506, 4771, 236761, 12792, 499, 496, 6582, 1345, 236761, 107, 221868, 236764, 506, 4896, 691, 71463, 236761, 53416, 236761, 107, 818, 3582, 4896, 18367, 506, 28239, 7913, 529, 506, 14711, 236761]",1,"[1, 106, 50]",106,1,True,False,[3],"The sunlight refracted beautifully through the glass of the window. слуhe a dead end.
unfortunately, the glass was shattered. widgets.
The clear glass reflected the vibrant colors of the sunset.",True,10225580032,11.249457587953657
006_common_gen_kth_last_k11_t1,6,6,kth_last,11,1,2,65,13,754,1818931647,common_gen,6,0,common_gen:validation:195,0,2de897ffd022e0fee275c00ff7924a8b2626c046854e27c951a1e559c9105a55,aba2ed0c8f5de8c1404954e3890e2d8e0731af546ab8a7ef79b6a7e66f3c21ad,success,,512.0,512.0,512.0,False,,model_loaded,19.250215239997488,0.47990618797484785,0.23874820896890014,0.718654396943748,0.718654396943748,652,1887,34130,33525826,262144,"{""allowed_count"": 262120, ""expected_count"": 262120, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [1, 50, 106], ""unexpected_allowed"": []}",3.336079094966408,xgrammar,2.7243181579979137,4.441285583015997,41,65,64,"[5778, 10542, 531, 2768, 8990, 506, 48718, 4914, 1913, 506, 18487, 88654, 236761, 236743, 107, 170900, 107, 236751, 107, 511, 107, 236746, 107, 54554, 107, 3091, 107, 712, 107, 1437, 107, 148233, 236761, 107, 114687, 107, 712, 107, 148233, 107, 495, 107, 811, 107, 54554, 236761, 107, 1930, 107, 2840, 236761, 107, 2060, 2768, 236761, 107, 8960, 13315, 236761, 107, 1904, 170711, 236761, 107, 106]","[5778, 10542, 531, 2768, 8990, 506, 48718, 4914, 1913, 506, 18487, 88654, 236761, 236743, 107, 170900, 107, 236751, 107, 511, 107, 236746, 107, 54554, 107, 3091, 107, 712, 107, 1437, 107, 148233, 236761, 107, 114687, 107, 712, 107, 148233, 107, 495, 107, 811, 107, 54554, 236761, 107, 1930, 107, 2840, 236761, 107, 2060, 2768, 236761, 107, 8960, 13315, 236761, 107, 1904, 170711, 236761, 107]",1,"[1, 106, 50]",106,1,True,True,[2],"She managed to hold onto the fragile evidence during the intense interrogation. 
 تفصیل
s
is
a
sentence
using
all
the
concepts.
summar
all
concepts
in
one
sentence.
use
hold.
return hold.
only sentence.
no preamble.
",True,10227373056,12.552416405000258
007_common_gen_kth_last_k12_t1,7,7,kth_last,12,1,2,65,14,793,27081196,common_gen,7,0,common_gen:validation:533,0,352ec27ba9a93685bcc1e2cdd421a845b7989c06d63a385ee508bd54a6e4a276,9b58b8f0a73fa9f07f80c44203cf011a5b02b370655802ea9093c241a430f122,success,,512.0,512.0,512.0,False,,model_loaded,18.976614875951782,0.4817195190116763,0.2570203799987212,0.7387398990103975,0.7387398990103975,693,2011,36569,38037247,262144,"{""allowed_count"": 262120, ""expected_count"": 262120, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [1, 50, 106], ""unexpected_allowed"": []}",3.2808991399942897,xgrammar,2.6350312000140548,4.447821604029741,41,65,64,"[818, 2434, 236789, 236751, 1626, 6317, 528, 506, 2290, 691, 496, 16601, 13626, 236761, 177096, 2094, 13315, 6178, 506, 3495, 529, 623, 8318, 3056, 3153, 236764, 506, 3847, 1694, 529, 14485, 691, 236787, 11058, 8318, 24594, 669, 2864, 19565, 531, 1161, 784, 14485, 528, 506, 1694, 236761, 5612, 993, 563, 1186, 886, 6317, 3495, 236764, 506, 13315, 1921, 128156, 2101, 625, 236761, 108, 818, 106]","[818, 2434, 236789, 236751, 1626, 6317, 528, 506, 2290, 691, 496, 16601, 13626, 236761, 177096, 2094, 13315, 6178, 506, 3495, 529, 623, 8318, 3056, 3153, 236764, 506, 3847, 1694, 529, 14485, 691, 236787, 11058, 8318, 24594, 669, 2864, 19565, 531, 1161, 784, 14485, 528, 506, 1694, 236761, 5612, 993, 563, 1186, 886, 6317, 3495, 236764, 506, 13315, 1921, 128156, 2101, 625, 236761, 108, 818]",1,"[1, 106, 50]",106,1,True,True,[2],"The team's final score in the game was a surprising victory. പക്ഷേThis sentence uses the concept of ""score"". However, the provided list of concepts was: [""score""]. The request asks to use all concepts in the list. Since there is only one score concept, the sentence must revolve around it.

The",True,10227373056,12.44789072999265
008_common_gen_kth_last_k14_t1,8,8,kth_last,14,1,2,65,16,865,38761726,common_gen,8,0,common_gen:validation:7,0,0b1a2b4cc9e03a8b1bef4f3bab4e1c8039f915ca92622d3cfdaf1d6cc8bbc1a3,777312573e561728c8b1a6349ff4dbba30878799e69f677f0aa18cc245831907,success,,512.0,512.0,512.0,False,,model_loaded,18.84448870702181,0.4879436420160346,0.29369410302024335,0.7816377450362779,0.7816377450362779,769,2241,41099,47157790,262144,"{""allowed_count"": 262120, ""expected_count"": 262120, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [1, 50, 106], ""unexpected_allowed"": []}",3.551084675011225,xgrammar,2.832684936001897,3.7242139279842377,41,51,50,"[818, 18487, 4249, 529, 506, 30123, 2290, 16332, 15269, 12889, 532, 64224, 236761, 13827, 236762, 5484, 95622, 103966, 3418, 506, 8205, 1913, 506, 1626, 30123, 4241, 236761, 236743, 107, 2717, 107, 818, 18487, 4249, 529, 506, 30123, 2290, 16332, 15269, 12889, 532, 64224, 236761, 13827, 236762, 5484, 95622, 103966, 3418, 106]","[818, 18487, 4249, 529, 506, 30123, 2290, 16332, 15269, 12889, 532, 64224, 236761, 13827, 236762, 5484, 95622, 103966, 3418, 506, 8205, 1913, 506, 1626, 30123, 4241, 236761, 236743, 107, 2717, 107, 818, 18487, 4249, 529, 506, 30123, 2290, 16332, 15269, 12889, 532, 64224, 236761, 13827, 236762, 5484, 95622, 103966, 3418]",1,"[1, 106, 50]",106,1,True,False,[3],"The intense speed of the hockey game demands incredible skill and teamwork. Stocky players battled fiercely across the ice during the final hockey match. 
```
The intense speed of the hockey game demands incredible skill and teamwork. Stocky players battled fiercely across",True,10226369024,12.235959156008903
009_common_gen_kth_last_k16_t1,9,9,kth_last,16,1,2,65,18,929,1570769743,common_gen,9,0,common_gen:validation:393,0,60f9a1d1666d53cdb645c14ab1f0ab9d1c7aeb7ed6a1681d42d90668319ce42c,a38126373c12f135ee1cbeb7ab831df1be01909b61e2326d924fc41e063548a6,success,,512.0,512.0,512.0,False,,model_loaded,19.567108148010448,0.48488479398656636,0.32203889603260905,0.8069236900191754,0.8069236900191754,837,2447,45165,56157121,262144,"{""allowed_count"": 262120, ""expected_count"": 262120, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [1, 50, 106], ""unexpected_allowed"": []}",3.537393088976387,xgrammar,2.8837612489587627,4.46716555400053,41,65,64,"[818, 13387, 169964, 35033, 88390, 1680, 41195, 8990, 506, 81994, 10035, 5552, 236761, 236743, 107, 54598, 107, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 5552, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 106]","[818, 13387, 169964, 35033, 88390, 1680, 41195, 8990, 506, 81994, 10035, 5552, 236761, 236743, 107, 54598, 107, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 5552, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743, 107, 236743]",1,"[1, 106, 50]",106,1,True,True,[2],"The actor nervously waited backstage before stepping onto the brightly lit stage. 
ڑی

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 stage 
 
 
 
 
 
 
 ",True,10227373056,13.022482555010356
