job_id,design_index,family_index,constraint,k,t,n_low,n,nfa_states,unrolled_states,seed,dataset,structural_cell_index,replicate_index,base_instance_id,multi_token_keyword_count,compiled_constraint_sha256,job_sha256
000_common_gen_kth_last_k1_t1,0,0,kth_last,1,1,2,65,3,254,897793754,common_gen,0,0,common_gen:validation:930,0,cfb3de5baf0fc38d47548292ff9b3fb7b9f122d94c8c303d5bb0fbb501601b5a,3cfd850043ae43668b6fff49249048b0c7e16acf928c2bb9aa4e44d4d3becba5
001_common_gen_kth_last_k3_t1,1,1,kth_last,3,1,2,65,5,370,1812287493,common_gen,1,0,common_gen:validation:194,0,d26a5e8ae94e1a1efa2c1214ff7c78271f547d7dd42ff93d1ad96c1c9d70b12f,0dabf7c36beeddca871d4ade71f7bd8cb30d399201ebbb35e438449b8789c0e2
002_common_gen_kth_last_k4_t1,2,2,kth_last,4,1,2,65,6,425,1700166206,common_gen,2,0,common_gen:validation:593,0,ea167641405643409c7198f2d7d73b6caa87e6421f32a0d32d8b1cabb01f973f,0ee863a7c94c6529fd917de3692616fadfce6ef1d6a738eaccb7a8708bf459b9
003_common_gen_kth_last_k6_t1,3,3,kth_last,6,1,2,65,8,529,842411654,common_gen,3,0,common_gen:validation:218,0,d1042040abbc82b2dd3f327a0c1cf8552a881622fcb112963724c6e91511242b,b68e0a24967b40d1cb419431f6f73adb4965af0d2152238d3d6a13ea023786cf
004_common_gen_kth_last_k7_t1,4,4,kth_last,7,1,2,65,9,578,1633392913,common_gen,4,0,common_gen:validation:247,0,2215d031cdde83bed57f45eee0980670790621fe88cc526ccb95ecc8d1a2e6be,5714b2edaaba00562fd616a1562332e422b808cfebf7155d2ffee7ccac5da2e5
005_common_gen_kth_last_k9_t1,5,5,kth_last,9,1,2,65,11,670,2090001954,common_gen,5,0,common_gen:validation:462,0,ef6dcf9b66d5dc9bf329c90be4c0478da082b837464ae931eee06d87c054a740,78a09fe718476898c02884012b3b630d2ddbca03748d0224621debd834d09b6a
006_common_gen_kth_last_k11_t1,6,6,kth_last,11,1,2,65,13,754,1818931647,common_gen,6,0,common_gen:validation:195,0,2de897ffd022e0fee275c00ff7924a8b2626c046854e27c951a1e559c9105a55,aba2ed0c8f5de8c1404954e3890e2d8e0731af546ab8a7ef79b6a7e66f3c21ad
007_common_gen_kth_last_k12_t1,7,7,kth_last,12,1,2,65,14,793,27081196,common_gen,7,0,common_gen:validation:533,0,352ec27ba9a93685bcc1e2cdd421a845b7989c06d63a385ee508bd54a6e4a276,9b58b8f0a73fa9f07f80c44203cf011a5b02b370655802ea9093c241a430f122
008_common_gen_kth_last_k14_t1,8,8,kth_last,14,1,2,65,16,865,38761726,common_gen,8,0,common_gen:validation:7,0,0b1a2b4cc9e03a8b1bef4f3bab4e1c8039f915ca92622d3cfdaf1d6cc8bbc1a3,777312573e561728c8b1a6349ff4dbba30878799e69f677f0aa18cc245831907
009_common_gen_kth_last_k16_t1,9,9,kth_last,16,1,2,65,18,929,1570769743,common_gen,9,0,common_gen:validation:393,0,60f9a1d1666d53cdb645c14ab1f0ab9d1c7aeb7ed6a1681d42d90668319ce42c,a38126373c12f135ee1cbeb7ab831df1be01909b61e2326d924fc41e063548a6
