job_id,design_index,family_index,constraint,k,t,n_low,n,nfa_states,unrolled_states,seed,dataset,structural_cell_index,replicate_index,base_instance_id,multi_token_keyword_count,compiled_constraint_sha256,job_sha256,status,failure_kind,timeout_s,precompute_timeout_s,generation_timeout_s,timed_out,timeout_phase,progress_phase,worker_subprocess_runtime_s,grammar_build_runtime_s,compile_runtime_s,xgrammar_precompute_runtime_s,setup_runtime_s,grammar_rule_count,grammar_edge_count,grammar_bytes,compiled_grammar_memory_bytes,model_vocab_size,initial_mask_audit,model_load_runtime_s,method,tokenizer_config_load_runtime_s,generation_runtime_s,prompt_token_count,generated_total_len,generated_token_ids,generated_text,valid_generation,peak_gpu_allocated_bytes,worker_total_runtime_s
000_common_gen_kth_last_k1_t1,0,0,kth_last,1,1,2,64,3,250,897793754,common_gen,0,0,common_gen:validation:930,0,eea36117af6f0da02f1bc4e58ecc25dd9ebcc04b94381151b77e1b6a2f04d0bd,7cfd5f33fab967b9ff20bccacc1d5157d2d5e69556772ded2a72bbf83625e4f8,success,,256.0,256.0,256.0,False,,model_loaded,14.8766728079936,0.3615503329929197,0.022079292000853457,0.3836296249937732,0.3836296249937732,130,312,5213,944740,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",3.069899260008242,xgrammar,0.6509148129989626,2.1859100589936133,12,64,"[2064, 4816, 678, 1876, 369, 31084, 0, 16018, 488, 4338, 35932, 1092, 488, 4035, 1040, 310, 4123, 466, 1144, 1438, 440, 30, 1690, 3010, 25, 2228, 12, 357, 3296, 883, 264, 8282, 318, 68, 1257, 2487, 7785, 11, 3712, 11, 12641, 11504, 2228, 12, 44241, 440, 264, 3274, 318, 68, 1257, 2487, 4237, 11, 10505, 11, 6673, 11504, 2228, 12, 23879, 745, 9558, 248046]","It seems your message is incomplete! Could you please clarify what you'd like to discuss or need help with? For example:  
- A question about a topic (e.g., science, history, tech)?  
- Assistance with a task (e.g., writing, coding, math)?  
- Something else wear<|im_end|>",True,3795953152,7.204567258988391
001_common_gen_kth_last_k3_t1,1,1,kth_last,3,1,2,64,5,364,1812287493,common_gen,1,0,common_gen:validation:194,0,d86a9957e60e987bbcf4a88e522810439064bab59cff38bb0d5cbb2e33ec2efb,256c9766b2356e489790a928f4edcb8003e1c8cb43daedc43652a73f2f5299fe,success,,256.0,256.0,256.0,False,,model_loaded,14.760065110007417,0.3548087449889863,0.05692222900688648,0.4117309739958728,0.4117309739958728,248,668,11575,4302259,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",3.041014531001565,xgrammar,0.6480771189962979,2.196903611999005,12,64,"[2064, 4816, 1040, 678, 1876, 2597, 3799, 974, 0, 16018, 488, 4338, 35932, 1092, 488, 4035, 1040, 310, 1366, 466, 4123, 30, 1690, 3010, 25, 2228, 12, 357, 3296, 883, 7785, 11, 5269, 11, 3712, 11, 4831, 13, 2228, 12, 11150, 440, 264, 6673, 3377, 466, 10505, 3274, 13, 2228, 12, 7831, 383, 264, 8282, 1040, 2730, 11, 6520, 11, 50690, 286, 11, 248046]","It seems like your message got cut off! Could you please clarify what you'd like to know or discuss? For example:  
- A question about science, technology, history, etc.  
- Help with a math problem or coding task.  
- Information on a topic like health, education, rafting,<|im_end|>",True,3795953152,7.21432396399905
002_common_gen_kth_last_k4_t1,2,2,kth_last,4,1,2,64,6,418,1700166206,common_gen,2,0,common_gen:validation:593,0,16ba99e9d2a6acbc3a81219b99a5b4f0a2fcbf74b81662927af89148559d4841,0367ced4d1f1b0eb75dd02b467debc0c749a62ef0bfbbecef3db9a28af16b9f4,success,,256.0,256.0,256.0,False,,model_loaded,14.872074144004728,0.35821183799998835,0.07828763099678326,0.4364994689967716,0.4364994689967716,304,837,14600,6715423,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",3.004843109010835,xgrammar,0.6458664819947444,2.253346641009557,12,64,"[2064, 5686, 1040, 678, 1876, 2597, 3799, 974, 0, 16018, 488, 4338, 35932, 1092, 488, 4035, 1040, 310, 4123, 466, 2466, 883, 30, 1690, 3010, 25, 2228, 12, 357, 3296, 466, 3377, 488, 2224, 3133, 383, 30, 2228, 12, 22185, 364, 264, 2313, 466, 11190, 4374, 30, 2228, 12, 7831, 883, 5269, 11, 7785, 11, 3712, 11, 4831, 78603, 1746, 11, 264, 3296, 248046]","It looks like your message got cut off! Could you please clarify what you'd like to discuss or ask about? For example:  
- A question or problem you're working on?  
- Ideas for a project or creative idea?  
- Information about technology, science, history, etc.? game, a question<|im_end|>",True,3795953152,7.255647409998346
003_common_gen_kth_last_k6_t1,3,3,kth_last,6,1,2,64,8,520,842411654,common_gen,3,0,common_gen:validation:218,0,0679c34228d9e774bd926893bab1b3f748f511494869dc6c8774103a06c99d0f,8267730920cb184e01a47840d484d43304d365f29a8431d241b3281df340cb21,success,,256.0,256.0,256.0,False,,model_loaded,14.872342357004527,0.3620910269964952,0.10572762500669342,0.4678186520031886,0.4678186520031886,410,1157,20338,12729820,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.9773987049993593,xgrammar,0.6478521980025107,2.212792177000665,12,64,"[2064, 4816, 1040, 678, 1876, 2493, 381, 31084, 0, 16018, 488, 35932, 1092, 488, 4035, 1040, 1438, 440, 30, 1690, 3010, 25, 2228, 12, 357, 3296, 466, 3377, 310, 11290, 30, 2228, 12, 7831, 883, 264, 8282, 318, 68, 1257, 2487, 7785, 11, 3712, 11, 5269, 11504, 2228, 12, 23502, 6498, 318, 65928, 11, 6859, 11, 2144, 4776, 1052, 11504, 2228, 12, 23879, 248046]","It seems like your message might be incomplete! Could you clarify what you'd like help with? For example:  
- A question or problem to solve?  
- Information about a topic (e.g., science, history, technology)?  
- Creative ideas (stories, projects, content ballors)?  
- Something<|im_end|>",True,3795953152,7.230929987999843
004_common_gen_kth_last_k7_t1,4,4,kth_last,7,1,2,64,9,568,1633392913,common_gen,4,0,common_gen:validation:247,0,8defe766848782956cf0301d7e324d4d6d492ea43303cf4085a1d359aa6f83ce,30f9a4975ac17b1649a675eeee91f95561d51e0b5b540fb4fa1b9a135ff34e5f,success,,256.0,256.0,256.0,False,,model_loaded,12.334117318008794,0.35415791600826196,0.12062563298968598,0.47478354899794795,0.47478354899794795,460,1308,23051,16224733,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.892198642002768,xgrammar,0.6519971160014393,2.214984294012538,12,64,"[2064, 4816, 1040, 678, 1876, 2493, 381, 31084, 0, 16018, 488, 35932, 1092, 488, 4035, 1040, 1438, 440, 30, 1690, 3010, 25, 2228, 12, 357, 3296, 466, 8282, 488, 2224, 21520, 883, 30, 2228, 12, 357, 3274, 318, 68, 1257, 2487, 4237, 11, 10505, 11, 6673, 11, 4831, 5946, 30, 2228, 12, 23879, 745, 11040, 30, 2919, 16002, 440, 12070, 383, 424, 321, 248046]","It seems like your message might be incomplete! Could you clarify what you'd like help with? For example:  
- A question or topic you're curious about?  
- A task (e.g., writing, coding, math, etc.)?  
- Something else entirely? water bottle with logo on it and<|im_end|>",True,3795953152,7.0649347139988095
005_common_gen_kth_last_k9_t1,5,5,kth_last,9,1,2,64,11,658,2090001954,common_gen,5,0,common_gen:validation:462,0,a4e9cbbf520565591715f720484aa0ab45a190a71034fdc8498cd52faa153083,775c6f5401192abc74e64f45c5d4d9524d1053ce64969c15ce4040b89e79342e,success,,256.0,256.0,256.0,False,,model_loaded,12.531022783005028,0.35695437199319713,0.1516738969949074,0.5086282689881045,0.5086282689881045,554,1592,28385,23939128,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.8672184239985654,xgrammar,0.6427921559952665,2.227670883992687,12,64,"[2064, 4816, 1040, 678, 1876, 2493, 381, 31084, 0, 16018, 488, 35932, 1092, 488, 4035, 1040, 310, 4123, 466, 1092, 488, 1144, 1438, 440, 30, 1690, 3010, 25, 2228, 12, 357, 3296, 883, 7785, 11, 5269, 11, 7431, 11, 466, 3712, 30, 2228, 12, 44241, 440, 264, 3274, 318, 68, 1257, 2487, 4237, 11, 8720, 1956, 22460, 11, 795, 6157, 11504, 2228, 12, 248046]","It seems like your message might be incomplete! Could you clarify what you'd like to discuss or what you need help with? For example:  
- A question about science, technology, culture, or history?  
- Assistance with a task (e.g., writing, glassblowing, data analysis)?  
-<|im_end|>",True,3795953152,7.188215643996955
006_common_gen_kth_last_k11_t1,6,6,kth_last,11,1,2,64,13,740,1818931647,common_gen,6,0,common_gen:validation:195,0,d36f6518bbd23fea975763ca6813f9fd2d1a6f619cbb37dbda36f0558b531701,09377dcc8f01fb9e5d450ee76f845399bc55441cc95c90912d2266b757a0a91a,success,,256.0,256.0,256.0,False,,model_loaded,12.467334263012162,0.36517553600424435,0.17984977099695243,0.5450253070011968,0.5450253070011968,640,1852,33495,32308375,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.8693286269990494,xgrammar,0.6475522769906092,2.241945059009595,12,64,"[2064, 4816, 1040, 678, 1876, 2493, 381, 31084, 0, 16018, 488, 35932, 1092, 488, 4035, 1040, 310, 4123, 466, 2466, 883, 30, 1690, 3010, 25, 2228, 12, 357, 3050, 8282, 318, 68, 1257, 2487, 7785, 11, 3712, 11, 12641, 11504, 2228, 12, 357, 3296, 488, 1144, 1438, 440, 30, 2228, 12, 23879, 3222, 403, 421, 3749, 2193, 30, 18050, 9658, 1042, 728, 1366, 248046]","It seems like your message might be incomplete! Could you clarify what you'd like to discuss or ask about? For example:  
- A specific topic (e.g., science, history, tech)?  
- A question you need help with?  
- Something holdout that needs context?  

Just let me know<|im_end|>",True,3795953152,7.211229099004413
007_common_gen_kth_last_k12_t1,7,7,kth_last,12,1,2,64,14,778,27081196,common_gen,7,0,common_gen:validation:533,0,adf571e11495483b9677ad758b84706aec8644ac9dcf121b69c135b2eac8d759,4805040d1f061495d84f03b1022a0d063f7655aae945a4e7621894cce9d102af,success,,256.0,256.0,256.0,False,,model_loaded,12.564946079000947,0.3609347649908159,0.191341489990009,0.5522762549808249,0.5522762549808249,680,1973,35876,36629323,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.8469926370016765,xgrammar,0.6390938080003252,2.242003756997292,12,64,"[2064, 4816, 1040, 678, 1876, 2597, 3799, 974, 0, 16018, 488, 4338, 3300, 777, 3447, 466, 35932, 1092, 488, 4035, 1040, 310, 1366, 30, 1690, 3010, 25, 2228, 12, 8448, 488, 9859, 883, 264, 8282, 11, 3296, 11, 466, 7059, 30, 2228, 12, 3054, 488, 1144, 1438, 440, 4237, 11, 6673, 5284, 15214, 11, 6163, 30394, 11, 466, 2414, 745, 30, 2228, 12, 248046]","It seems like your message got cut off! Could you please provide more details or clarify what you'd like to know? For example:  
- Are you asking about a topic, question, or concept?  
- Do you need help with writing, math score improvement, English grammar, or something else?  
-<|im_end|>",True,3795953152,7.223647991006146
008_common_gen_kth_last_k14_t1,8,8,kth_last,14,1,2,64,16,848,38761726,common_gen,8,0,common_gen:validation:7,0,fe3ab8c2caf6a57484ff3cb25fbb9278b54ec486b981e5bfa76d0c68629b07f4,d32b7ed7d0360df731ff719dfea6afc274da8e5ed9ae0991f3601f16ec6e6a34,success,,256.0,256.0,256.0,False,,model_loaded,12.658106392002082,0.34973280200210866,0.21564488799776882,0.5653776899998775,0.5653776899998775,754,2197,40290,45342808,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.8455073310033185,xgrammar,0.6326674160081893,2.2548015619977377,12,64,"[2064, 4816, 1040, 678, 1876, 2597, 3799, 974, 0, 16018, 488, 4338, 35932, 1092, 488, 4035, 1040, 310, 4123, 466, 2466, 883, 30, 1690, 3010, 25, 2228, 12, 3054, 488, 1144, 1438, 440, 264, 3050, 3274, 318, 68, 1257, 2487, 4237, 11, 10505, 11, 3302, 11504, 2228, 12, 8448, 26089, 12760, 11, 4437, 6337, 11, 466, 2414, 745, 488, 2224, 21520, 883, 30, 248046]","It seems like your message got cut off! Could you please clarify what you'd like to discuss or ask about? For example:  
- Do you need help with a specific task (e.g., writing, coding, research)?  
- Are hockey statistics, general knowledge, or something else you're curious about?<|im_end|>",True,3795953152,7.143177342994022
009_common_gen_kth_last_k16_t1,9,9,kth_last,16,1,2,64,18,910,1570769743,common_gen,9,0,common_gen:validation:393,0,9be0c604f011b8a033454b42e3758a35fbb3ceb6c1e88d02a198de918f010706,34bfead2f296b2576e1b6c9dc380b8baa55a841d968579f7968939bb09088265,success,,256.0,256.0,256.0,False,,model_loaded,12.561456416995497,0.34646829700795934,0.23765199599438347,0.5841202930023428,0.5841202930023428,820,2397,44240,53906905,248320,"{""allowed_count"": 248068, ""expected_count"": 248068, ""missing_expected"": [], ""ok"": true, ""stop_token_ids"": [248046], ""unexpected_allowed"": []}",2.9059706190018915,xgrammar,0.6340356439905008,2.2441241780034034,12,64,"[2064, 4816, 678, 1876, 369, 31084, 0, 16018, 488, 35932, 1092, 488, 4035, 1040, 1438, 440, 30, 1690, 3010, 25, 2228, 12, 357, 3296, 883, 7785, 11, 3712, 11, 466, 5269, 30, 2228, 12, 14235, 12622, 440, 6673, 11, 10505, 11, 466, 4237, 30, 2228, 12, 22528, 6228, 17425, 11, 3255, 6498, 11, 466, 2313, 8842, 30, 2228, 12, 2441, 2414, 745, 11040, 248046]","It seems your message is incomplete! Could you clarify what you'd like help with? For example:  
- A question about science, history, or technology?  
- Need assistance with math, coding, or writing?  
- Want stage directions, story ideas, or project planning?  
- Or something else entirely<|im_end|>",True,3795953152,7.126944589996128
