job_id,design_index,family_index,constraint,k,t,n_low,n,nfa_states,unrolled_states,seed,dataset,structural_cell_index,replicate_index,base_instance_id,multi_token_keyword_count,compiled_constraint_sha256,job_sha256
000_coauthor_kth_last_k1_t1,0,0,kth_last,1,1,2,65,3,254,1491181096,coauthor,0,0,coauthor:creative:d85ddd25fd5641a78bc996b77c55e82a,0,d30f7793308cbc1eb479b5981ba69b844943116bd3692bf74ccf6d25393c25bd,dbe174113ec5b656be980d7f90d88cad2bd10b32d18809831082c60b3b821222
001_coauthor_kth_last_k3_t1,1,1,kth_last,3,1,2,65,5,370,1899553348,coauthor,1,0,coauthor:creative:1ff18e51f2a1466f97bb3dbfbaf98ba6,0,5da9ec7682fc15606876da5d417eb30c41f9d7aa26af5a9c17227aae4fef1ce9,c0cc946d5e63a755046d8212b01548cd010cd01ab52aed3b2ffadcd23039516b
002_coauthor_kth_last_k4_t1,2,2,kth_last,4,1,2,65,6,425,1302744492,coauthor,2,0,coauthor:creative:23b998c76c784ff29f0ddedd78128722,0,9af380aadfb8b4e3574ae37915c050a529613efd554cdfd21180477266124902,6865d6d73d51a49478ab74a25a687e7ffaf02459b53dc7cc09e86b4c036e4719
003_coauthor_kth_last_k6_t1,3,3,kth_last,6,1,2,65,8,529,1308401230,coauthor,3,0,coauthor:creative:34f5ead6ffce44cfbdbd9cd0ef47f0c5,0,4e6e6476660f55db124cf40fe34e5ad8b68e6abb01e22a759405b9a6200e2ef8,6d2cb1a18927cf8f5b7af3f17123dbdd5b883eb6325c08b69c82484bd5be59e2
004_coauthor_kth_last_k7_t1,4,4,kth_last,7,1,2,65,9,578,1573029600,coauthor,4,0,coauthor:creative:c793fab594334531a25d19557c0f5ee0,0,3c08b203a30371a53478644eda63019c7a6f4ee03a7052b45c5f8ffa9046bc6b,74e92a16c86525621d57dd093bb0016f21a7d81f06450d7be7df8bcf97fb398e
005_coauthor_kth_last_k9_t1,5,5,kth_last,9,1,2,65,11,670,70697510,coauthor,5,0,coauthor:creative:b6936e96569b4b878e78370c516df55b,0,e839a50c9352b8f46d2117565d1b8591f4210ae45ea43f31dceb148374cfe444,b5f2c6083921851d471d6b36399d7fcff23e5207ccb4a7c1cb193393bc65c4df
006_coauthor_kth_last_k11_t1,6,6,kth_last,11,1,2,65,13,754,771436552,coauthor,6,0,coauthor:creative:dcb6bb7ac50740b49deae5bf9a0dc942,0,bd47d367b55f7a16cc2eea365298bcb93336cb6137f099360834ae1870284552,31d45910244aba5bde2b1352c502db2bc7fa3347108ff8e3a344a238ece8da9d
007_coauthor_kth_last_k12_t1,7,7,kth_last,12,1,2,65,14,793,1709702330,coauthor,7,0,coauthor:creative:86b1e2101c3141988dd27079e6963eb7,0,3244a13fe306aaada51e4efc7049df5a9c04a598ca8f2c8936abb971325e8707,3a354e591dbef2b1cfd4b9b6252982036667a9f12194b13a0fb4c326f0279f2c
008_coauthor_kth_last_k14_t1,8,8,kth_last,14,1,2,65,16,865,2001624439,coauthor,8,0,coauthor:creative:fe0fb4892ea749c7a67b12172793c3a4,0,d420960c0a1a637370ae2d9496fcabafd819d4596228da7f6563650f5770bf71,819618d9dee1da4766efce3d5bd48778684a7ab38684fc6cb1484f0ec474dca2
009_coauthor_kth_last_k16_t1,9,9,kth_last,16,1,2,65,18,929,928504667,coauthor,9,0,coauthor:creative:7b3266e380274b95b5a7b775dd937da6,0,c73812885adee80bb805ae9401217d3474a027bcb7bff89b529f757c027be1be,a4587dbd2018fa15315adcecb7f5156d9114626e7126c04c47be38d9ec5d4906
010_coauthor_kth_last_k17_t1,10,10,kth_last,17,1,2,65,19,958,763842738,coauthor,10,0,coauthor:creative:0ce718a22fd341feb59ef4f7aede8827,0,3f59e21efef889c0c83668b95d70c4c6719be7163a76bff874fc8a79210786c0,a45a01f20c0e570ec31d4686c88caeec5bdef16354521f956d3b66f61e8044f5
011_coauthor_kth_last_k19_t1,11,11,kth_last,19,1,2,65,21,1010,2050047378,coauthor,11,0,coauthor:creative:aa563d648ec34088a3e6d3924b53cffe,0,aec4bd59b6d9cd54df80387fe4b2b42461dc349c07d9ed62a716b87fe8a6352f,a750589eb9a559ebf744436ef0caffb6315f73e076fa29b42ac182d57a239af3
012_coauthor_kth_last_k20_t1,12,12,kth_last,20,1,2,65,22,1033,1997180275,coauthor,12,0,coauthor:creative:f02fab15925149cf9daa0f299d54f587,0,1501e7778a423229f0c22aed7b2234bf20c371f5cfe7c6aaf56c80bd654ce9c6,0e37aee19dbdd159ca605e911857d66142960e0a06d09ff18170d523194e2724
013_coauthor_kth_last_k22_t1,13,13,kth_last,22,1,2,65,24,1073,785059014,coauthor,13,0,coauthor:creative:499f9577962c4a2c98aee3f5b6098a71,0,32569dad7078dd05304d51dd0478531770ec584b8e9315d76c3d110937f0b99f,49d1cd1d3456a1bb02ba45ba5c89b3b11d9d5f57dfac798b6b1587394538bbd5
014_coauthor_kth_last_k24_t1,14,14,kth_last,24,1,2,65,26,1105,628780060,coauthor,14,0,coauthor:creative:b1eb87ade8f7495fb7167d0270816ef7,0,bdc34446525bcf164432de008a961697f8be36055b9024423dd261b31b761a49,3437706f18f7dbb0e1217a5306fc6dbe3c761f6b7f8794c0d8dc430475c13f88
015_coauthor_kth_last_k25_t1,15,15,kth_last,25,1,2,65,27,1118,590217029,coauthor,15,0,coauthor:creative:7e9c3c8fbe1f4a02bcb9940a2bf95d9f,0,a7d30412ad95581c5b2e9cbb3b0f48fe5f9522f74ea588e8c5073d5f165d99d3,8135cc35a28cac2f4d12cb7eda4aad0b42267c03806a3ad76e64e98c7cb380b3
016_coauthor_kth_last_k27_t1,16,16,kth_last,27,1,2,65,29,1138,748230345,coauthor,16,0,coauthor:creative:f44e4ed0828e40abab5892a019e11dc0,0,50e3d7706b3e3083df5ecffb7be3ab7a2a28fc2ab6fdf473ca84e007d8375b74,0f879985013f6edf0df5d5bad6fe62301d1a8c2c9ebd07c3cbf7c2552a251ce0
017_coauthor_kth_last_k29_t1,17,17,kth_last,29,1,2,65,31,1150,1276025991,coauthor,17,0,coauthor:creative:bc89dc4ac2a04f3aae685f619bb0fd24,0,919ecbde5f2f31301405d4ffe2bacf2c5036dfac3abfc31c5dbbdef5e6373c7b,a1854162a407a0b7eb0a0053aea4145707cb4573fb9b3ef1cf688ec16418935b
018_coauthor_kth_last_k30_t1,18,18,kth_last,30,1,2,65,32,1153,1435139929,coauthor,18,0,coauthor:creative:e192ae618004434e80f6d9ac86b84b05,0,021a5713d57fd6344c83af55f2195ecf1b85c1a89304f77aafc72f50bb890c73,2f8ca82c8d4cee5cd0f6be86c183cc90a454c4fa24075d66111b9de3dab55e34
019_coauthor_kth_last_k32_t1,19,19,kth_last,32,1,2,65,34,1153,1620468441,coauthor,19,0,coauthor:creative:2ce71b3ded9340529f08b8ce0bc0a2d1,0,80fff1bfd12af08e6f49ad4bbcc2b0eba78424bf744164e0d9c7e7ddc204cca7,26122c91d30a5c7b3e7702b33a3611ce8ed93ec057be18668371ee77b7e35f8c
020_coauthor_kth_last_k33_t1,20,20,kth_last,33,1,2,65,35,1150,1548175453,coauthor,20,0,coauthor:creative:4d56ca2cb8c44243a3c86dd80216c1d5,0,caec584978699e9a4c2a89a62bf2ffdc77bbbed6eb94544e1aa7f109bc86e996,cdfabb6ee17d5361c3b32e6b20d01a5b041ea41f1d8680dbddd9beff53b86a09
021_coauthor_kth_last_k35_t1,21,21,kth_last,35,1,2,65,37,1138,1349028788,coauthor,21,0,coauthor:creative:15225b481e3e4c4dab5c641b940b59b1,0,beb563cd05cd0b92b8f0d85fa2b4ec1d75c60ca14c7d47f0deb99a9ef27b6339,9ec22b44006deb486b80a94afee230ecdad4e878b57f358ad898a7999fe995e8
022_coauthor_kth_last_k37_t1,22,22,kth_last,37,1,2,65,39,1118,1398474462,coauthor,22,0,coauthor:creative:2848a799f11d4a41b15f5c91dd89eff2,0,f374d266cfe8ebfc3f8e3de121c69e983494ffe656309e245eaaaebcbf47e9b2,4ebc9ff7cdefc738fcb4a9891ef6fe3b137c6aa6f58952668ac9b706418b0254
023_coauthor_kth_last_k38_t1,23,23,kth_last,38,1,2,65,40,1105,696601385,coauthor,23,0,coauthor:creative:84b6f64b8ee84162927b65fe69374fa0,0,b1fac70a40919c6ecbe19c0e5bc22f60cad4cd390fc5b7ef94a348fee6842f76,7b36be91f3747b3649aa24b8e0c637d9e07133fcac5165d06963d4d9da279636
024_coauthor_kth_last_k40_t1,24,24,kth_last,40,1,2,65,42,1073,1964352443,coauthor,24,0,coauthor:creative:128bf2d6121a4542ba5779b2811d8c15,0,3a6bd228f83d2050a9dcaf7fd68ec2927fe7212e9bba1ca5e74fa4331cc2125d,fba5782b3338bb7a737e693648f6f362e71bccac1f09a975aec9a007ea7c0ad4
025_coauthor_kth_last_k42_t1,25,25,kth_last,42,1,2,65,44,1033,888846517,coauthor,25,0,coauthor:creative:c7d83184f9f34ae9a9d55b0ee9176856,0,260a97a97bbcbec6775d5dc64a5bd3772410246020a69b04361548f75d710f27,1aaa35ca18eed4c725368e73fadb3b9955bc017c5364ceed3a2b09864370156c
026_coauthor_kth_last_k43_t1,26,26,kth_last,43,1,2,65,45,1010,452819898,coauthor,26,0,coauthor:creative:98ec7dfa3aa04e69b9eaf765d6134943,0,cf80dbbaa700f8cde1bb241279b5e58d9e6c4665ebaf713fa039dc88b7dccda4,41c0383f3bef6a92fddc162eade8f1f734aa2f98fbd955748469f08131c42888
027_coauthor_kth_last_k45_t1,27,27,kth_last,45,1,2,65,47,958,530905720,coauthor,27,0,coauthor:creative:f3e888eebc91402e9a4b5266ea5c6389,0,265c0bfe48c0e8fa61934b6e419704196add4357c3942b97a741df013d25772a,1a1bbb052059286206ff1eb7cdcd4c2a347c7316287387480de034bea2c728a7
028_coauthor_kth_last_k46_t1,28,28,kth_last,46,1,2,65,48,929,1857979001,coauthor,28,0,coauthor:creative:aea2e89578b3408983027d4f02ac76e6,0,cfac0c3fde58bf78225b8687a951b25da6a0c14c646ed0c49f0059b9ce8d2764,2c4526a576937e5b4f07c63a544db171d0ccea73f223e3158d09d3bc21d2dabf
029_coauthor_kth_last_k48_t1,29,29,kth_last,48,1,2,65,50,865,1451756060,coauthor,29,0,coauthor:creative:d2938c7114bb4f228ae7e3e801e2165b,0,7c0dd06284da22c124c92f8ad0ddc5951fe3891181d9e870d913f2137d0592e5,5b6f03b68d4521f1f478d09c68930b050bf5f62ecca58811e308a0b555947b1d
